anno;provincia;settore;qualifica;arrivi_italiani;presenza_italiani;arrivi_stranieri;presenza_stranieri;arrivi_totali;presenza_totali
2010;VB;SETTORE ALBERGHIERO;Albergo;140041;358679;315490;943216;455531;1301895
2010;VC;SETTORE EXTRALBERGHIERO;Rifugio alpino;4471;4932;4301;5848;8772;10780
2021;VB;SETTORE EXTRALBERGHIERO;Campeggio;26635;81894;96219;576766;122854;658660
2006;CN;SETTORE EXTRALBERGHIERO;Rifugio escursionistico;1747;3413;444;830;2191;4243
2009;AT;SETTORE EXTRALBERGHIERO;Affittacamere;2597;11707;1979;8768;4576;20475
2010;BI;SETTORE ALBERGHIERO;Albergo;36218;96578;13974;42805;50192;139383
2011;TO;SETTORE EXTRALBERGHIERO;Rifugio alpino;4103;6635;603;1359;4706;7994
2016;NO;SETTORE ALBERGHIERO;Albergo;179007;311614;128722;320163;307729;631777
2019;AL;SETTORE EXTRALBERGHIERO;Agriturismo;17655;30919;14788;41694;32443;72613
2021;BI;SETTORE EXTRALBERGHIERO;Campeggio;4947;9187;917;1285;5864;10472
2005;AL;SETTORE ALBERGHIERO;Albergo;135826;339636;47763;91806;183589;431442
2008;CN;SETTORE EXTRALBERGHIERO;Bed & Breakfast;3311;7327;1725;3917;5036;11244
2013;TO;SETTORE EXTRALBERGHIERO;Rifugio escursionistico;1296;3422;358;825;1654;4247
2014;VC;SETTORE EXTRALBERGHIERO;Bed & Breakfast;1284;2243;318;861;1602;3104
2015;VB;SETTORE ALBERGHIERO;Residenza Turistico Alberghiera (R.T.A.);4402;16377;13504;47915;17906;64292
2016;AL;SETTORE EXTRALBERGHIERO;Campeggio;464;14125;3338;20213;3802;34338
2016;TO;SETTORE EXTRALBERGHIERO;Ostello;12816;47591;7397;56230;20213;103821
2021;AT;SETTORE ALBERGHIERO;Albergo;29507;53489;16419;34837;45926;88326
2015;TO;SETTORE EXTRALBERGHIERO;Bed & Breakfast;19720;44068;4948;11987;24668;56055
2018;AL;SETTORE EXTRALBERGHIERO;CAV - Residence;8449;24398;4194;9639;12643;34037
2019;AT;SETTORE EXTRALBERGHIERO;Alloggio Vacanze;411;832;1236;5116;1647;5948
2021;NO;SETTORE ALBERGHIERO;Residenza Turistico Alberghiera (R.T.A.);794;4509;2182;14655;2976;19164
2006;NO;SETTORE ALBERGHIERO;Residenza Turistico Alberghiera (R.T.A.);7716;66741;7437;43969;15153;110710
2008;CN;SETTORE EXTRALBERGHIERO;Affittacamere;11658;27791;10388;30878;22046;58669
2008;CN;SETTORE EXTRALBERGHIERO;Casa per ferie;12220;64521;870;4971;13090;69492
2013;VB;SETTORE EXTRALBERGHIERO;Agriturismo;1881;3348;789;2582;2670;5930
2014;VC;SETTORE EXTRALBERGHIERO;Affittacamere;2574;9490;922;3784;3496;13274
2014;VC;SETTORE EXTRALBERGHIERO;Casa per ferie;3006;20686;199;1044;3205;21730
2016;AL;SETTORE EXTRALBERGHIERO;Bed & Breakfast;8409;13683;7316;12808;15725;26491
2019;AT;SETTORE EXTRALBERGHIERO;CAV - Residence;3870;10167;3837;16219;7707;26386
2021;VB;SETTORE EXTRALBERGHIERO;Rifugio alpino;1735;2207;596;666;2331;2873
2006;TO;SETTORE EXTRALBERGHIERO;CAV - Residence;11322;144058;8999;135279;20321;279337
2006;VB;SETTORE EXTRALBERGHIERO;Affittacamere;3055;15667;2275;8212;5330;23879
2006;VB;SETTORE EXTRALBERGHIERO;Casa per ferie;6939;38986;457;1496;7396;40482
2019;TO;SETTORE EXTRALBERGHIERO;Bed & Breakfast;18135;34284;8851;17716;26986;52000
2005;CN;SETTORE ALBERGHIERO;Albergo;175735;502931;100476;260860;276211;763791
2006;BI;SETTORE EXTRALBERGHIERO;Rifugio alpino;1245;1297;205;221;1450;1518
2011;VC;SETTORE ALBERGHIERO;Albergo;34041;86792;10192;29278;44233;116070
2016;AL;SETTORE EXTRALBERGHIERO;Affittacamere;6348;16192;3279;5738;9627;21930
2016;AL;SETTORE EXTRALBERGHIERO;Casa per ferie;3273;14939;773;2140;4046;17079
2016;CN;SETTORE EXTRALBERGHIERO;Campeggio;35359;149037;10240;34409;45599;183446
2005;AL;SETTORE EXTRALBERGHIERO;Bed & Breakfast;1762;3383;942;2399;2704;5782
2008;AT;SETTORE EXTRALBERGHIERO;CAV - Residence;587;3938;819;6285;1406;10223
2010;VB;SETTORE EXTRALBERGHIERO;Rifugio alpino;202;262;59;71;261;333
2017;TO;SETTORE ALBERGHIERO;Residenza Turistico Alberghiera (R.T.A.);94781;348203;42860;188800;137641;537003
2021;AT;SETTORE EXTRALBERGHIERO;Bed & Breakfast;5644;9919;2627;7450;8271;17369
2007;VC;SETTORE EXTRALBERGHIERO;Bed & Breakfast;623;1464;161;1045;784;2509
2008;VB;SETTORE ALBERGHIERO;Residenza Turistico Alberghiera (R.T.A.);4592;28819;11864;54127;16456;82946
2009;AL;SETTORE EXTRALBERGHIERO;Campeggio;1034;4994;2035;6491;3069;11485
2009;TO;SETTORE EXTRALBERGHIERO;Ostello;10709;28103;15689;34504;26398;62607
2014;AT;SETTORE ALBERGHIERO;Albergo;35992;75602;26421;61739;62413;137341
2016;BI;SETTORE EXTRALBERGHIERO;CAV - Residence;1292;25702;768;8442;2060;34144
2006;AT;SETTORE EXTRALBERGHIERO;Bed & Breakfast;2184;4727;2163;6311;4347;11038
2008;CN;SETTORE EXTRALBERGHIERO;Agriturismo;16960;39438;16702;52851;33662;92289
2010;BI;SETTORE EXTRALBERGHIERO;Affittacamere;1312;2416;420;1025;1732;3441
2014;VC;SETTORE EXTRALBERGHIERO;Agriturismo;2196;4254;319;880;2515;5134
2016;CN;SETTORE EXTRALBERGHIERO;Rifugio alpino;9449;22589;3709;5871;13158;28460
2016;NO;SETTORE EXTRALBERGHIERO;Affittacamere;5154;13379;3840;9661;8994;23040
2016;NO;SETTORE EXTRALBERGHIERO;Casa per ferie;2834;15311;748;4132;3582;19443
2005;NO;SETTORE EXTRALBERGHIERO;Campeggio;38422;167939;15490;68911;53912;236850
2013;AT;SETTORE EXTRALBERGHIERO;Agriturismo;12166;24824;11491;39891;23657;64715
2014;VB;SETTORE EXTRALBERGHIERO;Bed & Breakfast;4280;9371;5324;14111;9604;23482
2016;TO;SETTORE ALBERGHIERO;Albergo;1386055;3064737;444034;1152229;1830089;4216966
2007;CN;SETTORE EXTRALBERGHIERO;CAV - Residence;2446;17495;1421;8795;3867;26290
2012;TO;SETTORE EXTRALBERGHIERO;Campeggio;67356;326984;11554;51125;78910;378109
2013;VC;SETTORE EXTRALBERGHIERO;CAV - Residence;2606;40282;1187;15737;3793;56019
2017;AL;SETTORE ALBERGHIERO;Albergo;143937;314516;102328;208708;246265;523224
2020;CN;SETTORE EXTRALBERGHIERO;Bed & Breakfast;13496;26060;3643;8888;17139;34948
2006;AT;SETTORE EXTRALBERGHIERO;Affittacamere;1983;8213;1777;6830;3760;15043
2007;BI;SETTORE ALBERGHIERO;Albergo;36449;96435;14306;35266;50755;131701
2008;TO;SETTORE EXTRALBERGHIERO;Rifugio alpino;5055;13332;426;511;5481;13843
2013;NO;SETTORE ALBERGHIERO;Albergo;166076;285159;108677;260365;274753;545524
2016;AL;SETTORE EXTRALBERGHIERO;Agriturismo;15876;30937;12394;31635;28270;62572
2018;BI;SETTORE EXTRALBERGHIERO;Campeggio;4466;16450;785;1375;5251;17825
2020;VB;SETTORE EXTRALBERGHIERO;CAV - Residence;6873;37970;12992;68200;19865;106170
2006;TO;SETTORE ALBERGHIERO;Residenza Turistico Alberghiera (R.T.A.);13074;102282;5657;61062;18731;163344
2010;AT;SETTORE EXTRALBERGHIERO;Bed & Breakfast;2686;5803;2019;5703;4705;11506
2012;CN;SETTORE EXTRALBERGHIERO;Agriturismo;27513;58281;29256;87146;56769;145427
2014;BI;SETTORE EXTRALBERGHIERO;Affittacamere;1135;1892;313;426;1448;2318
2014;BI;SETTORE EXTRALBERGHIERO;Casa per ferie;9690;20901;1911;4010;11601;24911
2018;VC;SETTORE EXTRALBERGHIERO;Agriturismo;2254;5333;267;504;2521;5837
2020;CN;SETTORE EXTRALBERGHIERO;Rifugio alpino;1592;1876;540;560;2132;2436
2020;NO;SETTORE EXTRALBERGHIERO;Affittacamere;4866;12743;1706;4050;6572;16793
2009;AL;SETTORE EXTRALBERGHIERO;Affittacamere;2724;8770;1758;4084;4482;12854
2009;CN;SETTORE EXTRALBERGHIERO;Campeggio;30205;153975;7962;28735;38167;182710
2019;TO;SETTORE EXTRALBERGHIERO;Agriturismo;8869;22063;3810;10305;12679;32368
2007;CN;SETTORE EXTRALBERGHIERO;Rifugio escursionistico;1504;4408;538;922;2042;5330
2010;AT;SETTORE EXTRALBERGHIERO;Affittacamere;2803;8267;2056;8902;4859;17169
2011;BI;SETTORE ALBERGHIERO;Albergo;32121;85179;14010;39712;46131;124891
2012;TO;SETTORE EXTRALBERGHIERO;Rifugio alpino;4337;6287;1009;1190;5346;7477
2017;NO;SETTORE ALBERGHIERO;Albergo;180087;348896;138034;341308;318121;690204
2020;AL;SETTORE EXTRALBERGHIERO;Agriturismo;13897;28575;7240;20895;21137;49470
2007;VB;SETTORE EXTRALBERGHIERO;Campeggio;32242;119632;128094;866190;160336;985822
2010;BI;SETTORE EXTRALBERGHIERO;Agriturismo;618;2391;102;213;720;2604
2012;TO;SETTORE EXTRALBERGHIERO;Affittacamere;12733;33691;3149;8998;15882;42689
2012;TO;SETTORE EXTRALBERGHIERO;Casa per ferie;83038;491754;18566;94694;101604;586448
2016;NO;SETTORE EXTRALBERGHIERO;Agriturismo;4523;10389;3871;8811;8394;19200
2017;CN;SETTORE ALBERGHIERO;Albergo;235826;563846;160875;390553;396701;954399
2018;BI;SETTORE EXTRALBERGHIERO;Rifugio alpino;600;605;970;978;1570;1583
2007;AT;SETTORE ALBERGHIERO;Albergo;36327;67124;25091;54289;61418;121413
2009;BI;SETTORE EXTRALBERGHIERO;CAV - Residence;476;12644;391;9330;867;21974
2015;NO;SETTORE EXTRALBERGHIERO;CAV - Residence;1819;5992;4201;17748;6020;23740
2018;AL;SETTORE EXTRALBERGHIERO;Ostello;2610;7533;862;3224;3472;10757
2008;TO;SETTORE EXTRALBERGHIERO;Agriturismo;3587;18337;678;2869;4265;21206
2011;CN;SETTORE EXTRALBERGHIERO;Rifugio escursionistico;3260;8122;2310;3230;5570;11352
2014;AT;SETTORE EXTRALBERGHIERO;Affittacamere;4281;13217;3352;11952;7633;25169
2014;AT;SETTORE EXTRALBERGHIERO;Casa per ferie;4451;7535;1991;6913;6442;14448
2014;CN;SETTORE EXTRALBERGHIERO;Ostello;384;718;45;95;429;813
2015;BI;SETTORE ALBERGHIERO;Albergo;31227;87976;16067;37128;47294;125104
2016;TO;SETTORE EXTRALBERGHIERO;Rifugio alpino;6133;8491;1193;1261;7326;9752
2021;NO;SETTORE ALBERGHIERO;Albergo;147647;300068;57043;149419;204690;449487
2010;VC;SETTORE EXTRALBERGHIERO;Bed & Breakfast;1060;2572;212;462;1272;3034
2011;VB;SETTORE ALBERGHIERO;Residenza Turistico Alberghiera (R.T.A.);4288;27490;13612;61391;17900;88881
2012;AL;SETTORE EXTRALBERGHIERO;Campeggio;1793;47373;3069;20865;4862;68238
2012;TO;SETTORE EXTRALBERGHIERO;Ostello;15429;47992;4390;33849;19819;81841
2017;AT;SETTORE ALBERGHIERO;Albergo;39343;70850;32952;79817;72295;150667
2019;BI;SETTORE EXTRALBERGHIERO;CAV - Residence;740;8290;439;3614;1179;11904
2008;AL;SETTORE EXTRALBERGHIERO;Affittacamere;2887;8198;1674;5043;4561;13241
2008;CN;SETTORE EXTRALBERGHIERO;Campeggio;30052;167061;6097;23584;36149;190645
2018;TO;SETTORE EXTRALBERGHIERO;Agriturismo;11042;33813;3555;10718;14597;44531
2021;CN;SETTORE EXTRALBERGHIERO;Rifugio escursionistico;3378;6484;2771;4806;6149;11290
2010;CN;SETTORE EXTRALBERGHIERO;CAV - Residence;2854;36267;2543;15189;5397;51456
2015;TO;SETTORE EXTRALBERGHIERO;Campeggio;83957;396699;44054;247252;128011;643951
2016;VC;SETTORE EXTRALBERGHIERO;CAV - Residence;2519;40577;2003;13459;4522;54036
2020;AL;SETTORE ALBERGHIERO;Albergo;67487;143773;23591;40015;91078;183788
2020;CN;SETTORE EXTRALBERGHIERO;Rifugio non gestito;46;76;0;0;46;76
2006;BI;SETTORE EXTRALBERGHIERO;Campeggio;5803;22601;940;3149;6743;25750
2008;VB;SETTORE EXTRALBERGHIERO;CAV - Residence;2365;11436;16137;130532;18502;141968
2012;NO;SETTORE EXTRALBERGHIERO;Campeggio;31292;152180;19632;108016;50924;260196
2014;CN;SETTORE EXTRALBERGHIERO;Alloggio Vacanze;196;1364;175;993;371;2357
2019;BI;SETTORE EXTRALBERGHIERO;Rifugio escursionistico;264;373;166;168;430;541
2020;AT;SETTORE EXTRALBERGHIERO;Agriturismo;11302;21415;4627;12630;15929;34045
2021;VB;SETTORE EXTRALBERGHIERO;Bed & Breakfast;5401;11817;5166;13380;10567;25197
2006;NO;SETTORE ALBERGHIERO;Albergo;136902;293052;113004;244060;249906;537112
2009;AL;SETTORE EXTRALBERGHIERO;Agriturismo;7655;18467;4251;14799;11906;33266
2011;BI;SETTORE EXTRALBERGHIERO;Campeggio;5211;20574;1088;2725;6299;23299
2013;VB;SETTORE EXTRALBERGHIERO;CAV - Residence;2967;21308;22519;151193;25486;172501
2017;NO;SETTORE EXTRALBERGHIERO;Campeggio;31031;130450;33594;150667;64625;281117
2019;CN;SETTORE EXTRALBERGHIERO;Alloggio Vacanze;2493;10406;2045;8065;4538;18471
2006;BI;SETTORE EXTRALBERGHIERO;Affittacamere;883;3571;376;1616;1259;5187
2010;VC;SETTORE EXTRALBERGHIERO;Agriturismo;1595;2689;48;184;1643;2873
2012;CN;SETTORE EXTRALBERGHIERO;Rifugio alpino;11742;28310;2335;2584;14077;30894
2012;NO;SETTORE EXTRALBERGHIERO;Affittacamere;2417;9813;2167;6077;4584;15890
2018;VB;SETTORE ALBERGHIERO;Albergo;170976;374375;397783;1145029;568759;1519404
2018;VC;SETTORE EXTRALBERGHIERO;Rifugio alpino;2481;2863;3846;4471;6327;7334
2014;VB;SETTORE EXTRALBERGHIERO;Campeggio;21688;80080;99289;604031;120977;684111
2017;BI;SETTORE EXTRALBERGHIERO;Agriturismo;2259;5242;887;3271;3146;8513
2019;TO;SETTORE EXTRALBERGHIERO;Affittacamere;17468;39916;10142;22908;27610;62824
2019;TO;SETTORE EXTRALBERGHIERO;Casa per ferie;149831;880278;15883;126499;165714;1006777
2020;CN;SETTORE ALBERGHIERO;Albergo diffuso;2171;4365;1056;3501;3227;7866
2005;TO;SETTORE EXTRALBERGHIERO;Bed & Breakfast;2487;7317;960;3008;3447;10325
2008;AL;SETTORE EXTRALBERGHIERO;CAV - Residence;1540;11207;408;4326;1948;15533
2011;NO;SETTORE ALBERGHIERO;Residenza Turistico Alberghiera (R.T.A.);2857;16974;7002;49468;9859;66442
2013;CN;SETTORE EXTRALBERGHIERO;Affittacamere;18132;36662;19890;53702;38022;90364
2013;CN;SETTORE EXTRALBERGHIERO;Casa per ferie;12039;62400;716;6125;12755;68525
2018;VB;SETTORE EXTRALBERGHIERO;Agriturismo;2001;4676;2169;6678;4170;11354
2019;VC;SETTORE EXTRALBERGHIERO;Affittacamere;4332;11708;2083;5425;6415;17133
2019;VC;SETTORE EXTRALBERGHIERO;Casa per ferie;3577;10447;487;1546;4064;11993
2021;AL;SETTORE EXTRALBERGHIERO;Bed & Breakfast;8125;15494;5331;11076;13456;26570
2021;BI;SETTORE EXTRALBERGHIERO;Agriturismi (senza ricettività);0;0;null;null;0;0
2009;NO;SETTORE ALBERGHIERO;Albergo;173319;309210;101789;221561;275108;530771
2012;AL;SETTORE EXTRALBERGHIERO;Agriturismo;14388;30038;7452;20809;21840;50847
2014;BI;SETTORE EXTRALBERGHIERO;Campeggio;4546;15446;1031;2014;5577;17460
2016;VB;SETTORE EXTRALBERGHIERO;CAV - Residence;5153;36131;23681;141994;28834;178125
2020;NO;SETTORE EXTRALBERGHIERO;Campeggio;30459;116150;14034;57571;44493;173721
2005;AL;SETTORE EXTRALBERGHIERO;Affittacamere;1793;5366;782;2181;2575;7547
2005;CN;SETTORE EXTRALBERGHIERO;Campeggio;23183;119593;4003;13498;27186;133091
2015;TO;SETTORE EXTRALBERGHIERO;Agriturismo;5835;17680;2515;7250;8350;24930
2018;CN;SETTORE EXTRALBERGHIERO;Rifugio escursionistico;3560;5755;3691;6447;7251;12202
2020;VB;SETTORE EXTRALBERGHIERO;Alloggio Vacanze;951;3610;726;3306;1677;6916
2021;AT;SETTORE EXTRALBERGHIERO;Affittacamere;7162;12515;4635;11750;11797;24265
2021;AT;SETTORE EXTRALBERGHIERO;Casa per ferie;1042;2279;82;215;1124;2494
2021;CN;SETTORE EXTRALBERGHIERO;Ostello;1216;2753;143;345;1359;3098
2005;CN;SETTORE EXTRALBERGHIERO;Bed & Breakfast;1795;3816;1424;3154;3219;6970
2010;TO;SETTORE EXTRALBERGHIERO;Rifugio escursionistico;1057;2247;58;58;1115;2305
2011;VC;SETTORE EXTRALBERGHIERO;Bed & Breakfast;927;1893;180;488;1107;2381
2012;VB;SETTORE ALBERGHIERO;Residenza Turistico Alberghiera (R.T.A.);4000;26351;12920;59199;16920;85550
2013;AL;SETTORE EXTRALBERGHIERO;Campeggio;1586;38028;2864;20030;4450;58058
2013;TO;SETTORE EXTRALBERGHIERO;Ostello;15863;53849;5622;35987;21485;89836
2018;AT;SETTORE ALBERGHIERO;Albergo;41132;69288;33947;80541;75079;149829
2020;BI;SETTORE EXTRALBERGHIERO;CAV - Residence;548;6825;217;1686;765;8511
2007;AT;SETTORE EXTRALBERGHIERO;Bed & Breakfast;2072;3980;2067;5909;4139;9889
2009;CN;SETTORE EXTRALBERGHIERO;Agriturismo;18180;42960;19833;57599;38013;100559
2011;BI;SETTORE EXTRALBERGHIERO;Affittacamere;1244;2794;387;713;1631;3507
2011;BI;SETTORE EXTRALBERGHIERO;Casa per ferie;10674;24431;1624;3589;12298;28020
2015;VC;SETTORE EXTRALBERGHIERO;Agriturismo;2271;5374;320;883;2591;6257
2017;CN;SETTORE EXTRALBERGHIERO;Rifugio alpino;10491;22404;4392;4745;14883;27149
2017;NO;SETTORE EXTRALBERGHIERO;Affittacamere;6774;15870;4804;11958;11578;27828
2017;NO;SETTORE EXTRALBERGHIERO;Casa per ferie;2935;16358;833;4270;3768;20628
2019;TO;SETTORE EXTRALBERGHIERO;Agriturismi (senza ricettività);0;0;null;null;0;0
2005;CN;SETTORE EXTRALBERGHIERO;Rifugio alpino;8230;18027;1906;2047;10136;20074
2005;NO;SETTORE EXTRALBERGHIERO;Affittacamere;1070;9595;1211;3530;2281;13125
2011;VB;SETTORE ALBERGHIERO;Albergo;139848;348119;340660;1008077;480508;1356196
2011;VC;SETTORE EXTRALBERGHIERO;Rifugio alpino;2720;3028;4287;5890;7007;8918
2005;CN;SETTORE EXTRALBERGHIERO;Affittacamere;7788;22466;7437;20045;15225;42511
2005;CN;SETTORE EXTRALBERGHIERO;Casa per ferie;8138;35534;363;5026;8501;40560
2010;VB;SETTORE EXTRALBERGHIERO;Agriturismo;1293;3077;514;2175;1807;5252
2011;VC;SETTORE EXTRALBERGHIERO;Affittacamere;2673;8914;1141;3680;3814;12594
2011;VC;SETTORE EXTRALBERGHIERO;Casa per ferie;3150;27227;127;2854;3277;30081
2013;AL;SETTORE EXTRALBERGHIERO;Bed & Breakfast;4094;6841;3265;6007;7359;12848
2016;AT;SETTORE EXTRALBERGHIERO;CAV - Residence;2591;11325;2426;15447;5017;26772
2018;VB;SETTORE EXTRALBERGHIERO;Rifugio alpino;6503;7572;3709;4409;10212;11981
2019;NO;SETTORE EXTRALBERGHIERO;Agriturismi (senza ricettività);0;0;null;null;0;0
2006;AL;SETTORE ALBERGHIERO;Albergo;142496;343754;57066;117098;199562;460852
2009;CN;SETTORE EXTRALBERGHIERO;Bed & Breakfast;3979;9575;2132;5534;6111;15109
2014;TO;SETTORE EXTRALBERGHIERO;Rifugio escursionistico;3267;5469;579;963;3846;6432
2015;VC;SETTORE EXTRALBERGHIERO;Bed & Breakfast;1735;3258;601;1073;2336;4331
2016;VB;SETTORE ALBERGHIERO;Residenza Turistico Alberghiera (R.T.A.);5176;17463;15800;51220;20976;68683
2017;AL;SETTORE EXTRALBERGHIERO;Campeggio;652;25840;3630;23118;4282;48958
2017;TO;SETTORE EXTRALBERGHIERO;Ostello;11700;43156;9153;60967;20853;104123
2005;AL;SETTORE EXTRALBERGHIERO;Agriturismo;5985;19005;2052;6671;8037;25676
2007;BI;SETTORE EXTRALBERGHIERO;Campeggio;5745;20068;722;1787;6467;21855
2009;VB;SETTORE EXTRALBERGHIERO;CAV - Residence;3575;14840;15909;109279;19484;124119
2013;NO;SETTORE EXTRALBERGHIERO;Campeggio;23023;112516;18065;100440;41088;212956
2015;CN;SETTORE EXTRALBERGHIERO;Alloggio Vacanze;902;6640;499;2480;1401;9120
2019;VB;SETTORE EXTRALBERGHIERO;Rifugio non gestito;0;0;null;null;0;0
2021;AT;SETTORE EXTRALBERGHIERO;Agriturismo;15671;27094;10422;29978;26093;57072
2009;CN;SETTORE EXTRALBERGHIERO;Rifugio alpino;7536;20042;2038;2792;9574;22834
2009;NO;SETTORE EXTRALBERGHIERO;Affittacamere;1742;8264;1220;3941;2962;12205
2015;VB;SETTORE ALBERGHIERO;Albergo;154769;353105;367441;1049598;522210;1402703
2015;VC;SETTORE EXTRALBERGHIERO;Rifugio alpino;2548;3239;3069;3373;5617;6612
2014;TO;SETTORE ALBERGHIERO;Residenza Turistico Alberghiera (R.T.A.);137970;572212;35858;158022;173828;730234
2018;AT;SETTORE EXTRALBERGHIERO;Bed & Breakfast;6581;11213;5781;16833;12362;28046
2020;CN;SETTORE EXTRALBERGHIERO;Agriturismo;32949;63697;15204;42713;48153;106410
2006;CN;SETTORE ALBERGHIERO;Albergo;188188;572569;116418;322986;304606;895555
2007;BI;SETTORE EXTRALBERGHIERO;Rifugio alpino;739;774;296;324;1035;1098
2012;VC;SETTORE ALBERGHIERO;Albergo;36406;90999;12492;32309;48898;123308
2017;AL;SETTORE EXTRALBERGHIERO;Affittacamere;6220;12097;3328;6089;9548;18186
2017;AL;SETTORE EXTRALBERGHIERO;Casa per ferie;3081;15079;1012;3451;4093;18530
2017;CN;SETTORE EXTRALBERGHIERO;Campeggio;41567;175727;11040;38767;52607;214494
2005;VB;SETTORE ALBERGHIERO;Residenza Turistico Alberghiera (R.T.A.);3335;19073;9404;47389;12739;66462
2006;TO;SETTORE EXTRALBERGHIERO;Ostello;5748;16989;5121;26704;10869;43693
